,,,,,,,ATHLETIC PROFILE,,,,,,,,,,,FRESHMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOPHOMORE / RS FRESHMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUNIOR / RS SOPHMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SENIOR / RS JUNIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Profile,,,,,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Year,Rank,Player,Draft Year,Round,Pick,Exp,Height,Weight,Arm,Hand,Wing,40 T,10 Splt,Vert,Broad,3 Cone,Shuttle,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC
2023,1,Christian McCaffrey,2017,1,8,6,71.25,202,30.00,9.00,72.625,4.48,1.55,37.5,121,,4.22,35,243,6.9,0,0,66.7,71,2.03,3,0.09,9,0,22,5,132,54.32%,,,17,16,94.12%,251,15.7,2,94.0,38,190,11.9,6.61,5.5,7,0.44,287,"1,635",5.7,7,2,82.7,733,2.55,59,0.21,45,59,223,16,464,28.38%,75,0.26,45,37,82.22%,437,11.8,3,92.0,212,404,10.9,2.06,2.4,10,0.27,252,"1,590",6.3,13,3,80.4,830,3.29,44,0.17,38,54,195,16,602,37.86%,74,0.29,46,38,82.61%,318,8.4,3,83.9,191,290,7.6,1.66,1.9,21,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,Breece Hall,2022,2,36,1,71.25,217,31.25,9.75,75.875,4.39,1.52,40.0,,,,168,842,5.0,9,0,78.7,614,3.65,52,0.31,27,125,42,12,290,34.44%,45,0.27,22,19,86.36%,196,10.3,1,59.3,309,231,12.2,0.63,-1.4,5,0.26,223,"1,347",6.0,17,2,86.8,799,3.58,58,0.26,35,170,53,22,672,49.89%,66,0.30,19,17,89.47%,145,8.5,2,65.3,204,146,8.6,0.71,0.3,8,0.47,251,"1,460",5.8,20,2,87.0,713,2.84,76,0.30,36,176,74,22,778,53.29%,74,0.29,41,37,90.24%,310,8.4,3,80.0,291,328,8.9,1.07,-0.2,14,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,Travis Etienne,2021,1,25,2,70.13,215,30.13,9.38,73.125,4.45,1.56,33.5,128,,,97,718,7.4,12,1,83.3,483,4.98,27,0.28,16,50,45,11,382,53.20%,32,0.33,5,3,60.00%,49,16.3,0,49.8,46,62,20.7,1.07,0.4,0,0.00,164,"1,305",8.0,19,0,91.3,695,4.24,42,0.26,37,91,69,27,744,57.01%,65,0.40,15,10,66.67%,65,6.5,1,43.1,133,110,11.0,0.49,-3.5,3,0.30,168,"1,386",8.3,16,3,90.9,899,5.35,76,0.45,40,100,57,24,747,53.90%,61,0.36,29,28,96.55%,289,10.3,2,79.8,156,316,11.3,1.85,-1.1,8,0.29,146,767,5.3,12,2,78.8,527,3.61,34,0.23,23,96,45,12,295,38.46%,42,0.29,87,1,63.64%,48,41.0,1,512.0,12,2,80.5,209.00,571.0,14,2.45
2023,4,Rachaad White,2022,3,91,1,72.38,214,31.25,9.88,75.375,4.48,1.52,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,420,10.0,5,2,82.9,175,4.17,8,0.19,10,26,15,6,255,60.71%,15,0.36,8,8,100.00%,151,18.9,1,86.0,30,186,23.3,5.03,-4.4,4,0.50,183,"1,000",5.5,15,1,90.5,619,3.38,44,0.24,24,111,70,11,312,31.20%,57,0.31,90,1,64.00%,48,43.0,1,456.0,11,1,90.0,203.00,452.0,11,2.25
2023,5,Raheem Mostert,2015,UDFA,UDFA,8,70.00,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6,Joe Mixon,2017,2,48,6,72.75,226,30.13,10.25,74.500,4.45,1.51,35.0,118,7.10,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,752,6.8,7,1,81.5,411,3.74,31,0.28,28,59,37,13,357,47.47%,36,0.33,30,26,86.67%,347,13.3,4,78.6,167,368,14.2,2.08,1.9,7,0.27,168,"1,196",7.1,8,2,84.4,679,4.04,47,0.28,31,79,82,20,668,55.85%,54,0.32,38,32,84.21%,449,14.0,5,86.5,184,397,12.4,2.44,4.0,9,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,7,Kyren Williams,2022,5,164,1,69.25,194,28.63,9.00,69.875,4.65,1.57,32.0,,,,4,26,6.5,0,0,70.2,10,2.50,0,0.00,1,1,3,0,0,0.00%,1,0.25,2,1,50.00%,3,3.0,0,30.2,5,8,8.0,0.60,-3.0,0,0.00,180,"1,010",5.6,12,4,76.0,590,3.28,33,0.18,27,123,55,12,376,37.23%,57,0.32,32,24,75.00%,266,11.1,1,66.7,147,241,10.0,1.81,0.8,8,0.33,204,990,4.9,14,3,80.0,757,3.71,58,0.28,25,103,99,9,327,33.03%,48,0.24,45,42,93.33%,359,8.5,3,80.8,244,380,9.0,1.47,-0.4,14,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
